2.483381778001785278e-01	4.938240051269531250e-01	-7.712026238441467285e-01	-8.475786447525024414e-01	6.284044981002807617e-01	-5.872110724449157715e-01	1.140443801879882812e+00	1.611572802066802979e-01	1.267412304878234863e+00	-4.495024681091308594e-03	2.993596196174621582e-01	8.388330936431884766e-01	-8.401848375797271729e-02	-1.060140132904052734e+00	-1.976238191127777100e-01	1.297845095396041870e-01	-4.682530760765075684e-01	8.162883520126342773e-01	6.587487459182739258e-01	7.516734600067138672e-01
6.066050529479980469e-01	3.616757690906524658e-02	-7.484703660011291504e-01	-1.205484032630920410e+00	4.527964890003204346e-01	-4.740000963211059570e-01	1.069770097732543945e+00	-1.212544143199920654e-01	3.426142334938049316e-01	5.305290222167968750e-01	4.778457283973693848e-01	9.521758556365966797e-01	-1.997054219245910645e-01	-1.074457168579101562e+00	-8.741391450166702271e-02	-5.512996912002563477e-01	-2.635595202445983887e-01	3.436229750514030457e-02	-9.290941059589385986e-03	8.402819633483886719e-01
7.942945957183837891e-01	2.822395563125610352e-01	-9.868425130844116211e-01	-6.244121789932250977e-01	-1.101880550384521484e+00	-2.258259505033493042e-01	1.501275062561035156e+00	-1.525687694549560547e+00	2.457823604345321655e-02	9.808513522148132324e-01	-4.452122747898101807e-02	1.159244060516357422e+00	1.429905742406845093e-01	7.987156510353088379e-02	7.843199968338012695e-01	-3.543491959571838379e-01	-1.262274265289306641e+00	-4.933147728443145752e-01	-1.835777997970581055e+00	-5.361804962158203125e-01
4.909189939498901367e-01	-1.476167142391204834e-01	-2.628171443939208984e-01	-6.478062272071838379e-01	1.203836500644683838e-01	-3.721476793289184570e-01	8.174741268157958984e-01	-2.638904750347137451e-01	7.900538444519042969e-01	4.004961848258972168e-01	-2.578396797180175781e-01	6.110483407974243164e-01	-2.250767499208450317e-01	-5.800651907920837402e-01	4.387278109788894653e-02	-8.201922476291656494e-02	-1.018668174743652344e+00	9.140048623085021973e-01	8.339532613754272461e-01	4.168832302093505859e-01
4.264354407787322998e-01	-1.234392672777175903e-01	-9.655421972274780273e-01	-5.261321663856506348e-01	-1.045704111456871033e-01	7.647649198770523071e-02	7.389687299728393555e-01	-3.884756565093994141e-01	1.069450616836547852e+00	5.849692225456237793e-01	4.125690460205078125e-01	7.275681495666503906e-01	-1.486936509609222412e-01	-6.473689675331115723e-01	-2.244412004947662354e-01	-5.202947258949279785e-01	-1.051758527755737305e+00	-1.857158541679382324e-01	1.871599853038787842e-01	5.912368297576904297e-01
3.870884776115417480e-01	4.266668558120727539e-01	-1.351252347230911255e-01	-3.670854568481445312e-01	-3.967294096946716309e-02	-3.478358983993530273e-01	8.790529966354370117e-01	3.312371298670768738e-02	6.655638813972473145e-01	1.362595707178115845e-01	5.067371129989624023e-01	8.080683350563049316e-01	-8.695238828659057617e-02	-5.441403985023498535e-01	-1.059860214591026306e-01	-1.356841921806335449e-01	-1.032364368438720703e-02	9.055542945861816406e-01	-3.668988049030303955e-01	1.273833036422729492e+00
6.872949600219726562e-01	1.333367079496383667e-01	-4.543812870979309082e-01	-3.405243158340454102e-01	1.810430884361267090e-01	-9.567747265100479126e-02	1.086225271224975586e+00	-6.051914691925048828e-01	4.378059506416320801e-01	5.110676884651184082e-01	2.295960932970046997e-01	7.747016549110412598e-01	-2.440364658832550049e-01	-5.138096809387207031e-01	2.078053802251815796e-01	9.535322338342666626e-02	-3.759514689445495605e-01	-3.300707936286926270e-01	6.271937489509582520e-02	7.454053163528442383e-01
8.488060235977172852e-01	1.938513815402984619e-01	-7.888903617858886719e-01	-5.434011816978454590e-01	-2.533043734729290009e-02	9.606078267097473145e-02	1.345699310302734375e+00	-4.409472346305847168e-01	2.432076334953308105e-01	1.343717813491821289e+00	1.152439594268798828e+00	1.118813633918762207e+00	2.105691879987716675e-01	-1.551724433898925781e+00	6.231269836425781250e-01	-7.899942398071289062e-01	-2.871959805488586426e-01	-1.336960077285766602e+00	-1.055166482925415039e+00	1.754086017608642578e+00
6.558271646499633789e-01	1.230653077363967896e-01	-6.313120126724243164e-01	-6.645787954330444336e-01	2.878673970699310303e-01	-6.349899768829345703e-01	1.048945546150207520e+00	-1.218325614929199219e+00	4.240794181823730469e-01	1.727817803621292114e-01	7.170736789703369141e-01	7.164909839630126953e-01	5.972938537597656250e-01	-4.453554153442382812e-01	2.935190200805664062e-01	5.072634220123291016e-01	-4.957394897937774658e-01	-4.101978242397308350e-01	-2.260575294494628906e-01	7.755740880966186523e-01
4.993792772293090820e-01	-1.230168119072914124e-01	-3.869153261184692383e-01	-7.206683158874511719e-01	3.726884126663208008e-01	-4.415775537490844727e-01	1.033230900764465332e+00	-1.570355594158172607e-01	4.893743395805358887e-01	3.481810986995697021e-01	-5.522697046399116516e-02	7.885047197341918945e-01	-2.825977206230163574e-01	-4.661532640457153320e-01	1.801882833242416382e-01	-2.819792926311492920e-01	-9.783968925476074219e-01	9.496219158172607422e-01	5.233290791511535645e-01	1.932588964700698853e-02
